sentence,corrections
New and new technology has been introduced to the society .,"['New technology has been introduced to society .'
 'New technology has been introduced into the society .'
 'Newer and newer technology has been introduced into society .'
 'Newer and newer technology has been introduced to the society .']"
One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,"['One possible outcome is that an environmentally-induced reduction in motorization levels in richer countries will outweigh any rise in motorization levels in poorer countries .'
 'One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .'
 'One possible outcome is that an environmentally induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .'
 'One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .']"
"Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","['Every person needs to know a bit about math , science , art , literature and history in order to stand out in society .'
 'Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .'
 'Every person needs to know a bit about math , science , the arts , literature , and history in order to stand out in society .'
 'Every person needs to know a bit about math , science , arts , literature and history in order to stand out in society .']"
"While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","['While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .'
 'While the travel company will most likely show them some interesting sites in order to advertise their company to their family and friends , it is highly unlikely that the company will advertise the sites that were not included in the tour -- for example , due to entrance fees that would make the total package price overly expensive .'
 'While the travel company will most likely show them some interesting sites in order for their customers to advertise their company to their family and friends , it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example , due to entrance fees that would make the total package price overly expensive .'
 'While the travel company will most likely show their customers some interesting sites in order for them to advertise by word of mouth , it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example , those with entrance fees that would make the total package price overly expensive .']"
Disadvantage is parking their car is very difficult .,"['A disadvantage is that parking their cars is very difficult .'
 'A disadvantage is that parking their car is very difficult .'
 'The disadvantage is that parking their car is very difficult .'
 'The disadvantage is that parking their car is very difficult .']"
Bigger farming are use more chemical product and substance to feed fish .,"['Bigger farming is using more chemical products and substances to feed fish .'
 'Big farming are using more chemical products and substances to feed fish .'
 'Bigger farms are using more chemical products and substances to feed fish .'
 'Bigger farms are using more chemical products and substances to feed fish .']"
"Forexample , My cousin is 12years old .","['For example , my cousin is 12 years old .'
 'For example , my cousin is 12 years old .'
 'For example , my cousin is 12 years old .'
 'For example , my cousin is 12 years old .']"
"if it does , you will only get some misundrestood idea about that acticle but not the original one .","['If it does , you will only get some misunderstood idea about that article but not the original one .'
 'If it does , you will get a mistaken idea about that article but not the intended idea .'
 'If it does , you will get some misunderstood idea about the article instead of the original one .'
 'If it does , you will only get some misunderstood idea about that article but not the original one .']"
"Secondly , chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions .","['Secondly , chimps are also capable of learning grammar , meaning they can demonstrate the ability to combine words and utilize grammatical constructions .'
 'Secondly , chimp can also present the capability for grammar , which means it can demonstrate the ability to combine words and be able to use grammatical constructions .'
 'Secondly , a chimp can also show the capability for grammar , which means it can demonstrate the ability to combine words and use grammatical constructions .'
 'Secondly , chimps can also present the capability for grammar , which means they demonstrate the ability to combine words and use grammatical constructions .']"
"Nevertheless , this city is having a big change .","['Nevertheless , this city is going through a big change .'
 'Nevertheless , this city is experiencing a big change .'
 'Nevertheless , this city is undergoing a big change .'
 'Nevertheless , this city is undergoing a big change .']"
